"Data";"Valor_Carteira";"Custo_Carteira";"Valorizacao_RADL3";"Valorizacao_SBSP3";"Valorizacao_SANB3";"Valorizacao_PSSA3";"Valorizacao_ITSA3";"Valorizacao_Carteira"
2013-01-18;9979.52;9979.52;0;0;0;0;0;0
2013-02-20;11712.02;11999.98;-0.07;0.04;-0.09;0.07;0;-0.0239967066611777
2013-03-20;14454.62;13988.78;-0.01;-0.02;0.05;0.19;0;0.0333009740663589
2013-04-18;15767.37;15990.38;-0.07;0.02;-0.02;0.05;0;-0.0139465103393417
2013-05-21;18261.54;17983.28;0.04;-0.05;0.05;0.17;-0.05;0.0154732618298776
2013-06-20;18346.68;19996.46;-0.11;-0.13;-0.02;0.06;-0.12;-0.0825036031377553
2013-07-19;20111.82;21997.36;-0.12;-0.11;-0.09;0.12;-0.1;-0.0857166496343198
2013-08-20;20859.14;23998.81;-0.17;-0.23;-0.09;0.14;-0.1;-0.130826070125977
2013-09-19;22706.57;25999.9;-0.18;-0.15;-0.06;0.21;-0.23;-0.126667025642406
2013-10-18;25927.34;27992.7;-0.19;-0.1;0.08;0.26;-0.16;-0.0737820931885813
2013-11-22;27651.35;29990.41;-0.17;-0.07;0.08;0.23;-0.19;-0.077993598620359
2013-12-19;29079.42;31994.72;-0.19;-0.06;0.01;0.28;-0.15;-0.091118159496317
2014-01-21;28650.23;33999.91;-0.24;-0.09;-0.15;0.28;-0.21;-0.157343945910445
2014-02-20;29760.45;35985.53;-0.23;-0.13;-0.15;0.32;-0.28;-0.172988420623512
2014-03-24;34281.74;37999.53;-0.03;-0.21;-0.08;0.45;-0.2;-0.0978377890463382
2014-04-22;38033.72;39982.13;0.01;-0.12;0;0.5;-0.19;-0.0487320210303952
2014-05-21;40271.03;41997.33;0.02;-0.08;0.08;0.44;-0.22;-0.0411049940555746
2014-06-23;43215.96;43997.55;-0.01;-0.02;0.13;0.44;-0.17;-0.0177643982449024
2014-07-21;45285.83;45981.15;0.02;-0.05;0.09;0.41;-0.12;-0.0151218488445809
2014-08-20;48776.39;47991.84;0.18;-0.13;0.12;0.44;-0.07;0.0163475707536947
2014-09-18;51487.7;49999.74;0.09;-0.11;0.19;0.34;-0.02;0.0297593547486447
2014-10-20;52317.93;51995.88;0.19;-0.15;0.11;0.32;-0.09;0.00619375996713591
2014-11-21;58008.36;53994.11;0.29;-0.1;0.15;0.38;0;0.0743460721919483
2014-12-18;52598.87;55990.13;0.21;-0.23;-0.03;0.25;-0.15;-0.0605688895524978
2015-01-21;55962.25;57988.34;0.38;-0.27;0;0.28;-0.13;-0.0349396102733756
2015-02-23;61244.38;59990.34;0.45;-0.24;0.11;0.32;-0.07;0.0209040322158536
2015-03-19;64452.09;61993.74;0.39;-0.16;0.11;0.42;-0.08;0.0396548103082667
2015-04-22;71433.1;63996.39;0.65;-0.15;0.18;0.56;-0.04;0.116205148446655
2015-05-21;79916.31;65995.89;0.99;-0.1;0.42;0.63;-0.12;0.210928589643991
2015-06-19;76765.76;67987.33;0.98;-0.22;0.32;0.59;-0.16;0.129118616659898
2015-07-21;85353.18;69998.83;1.29;-0.1;0.31;0.67;-0.14;0.219351523446892
2015-08-20;74560.34;71978.28;1.05;-0.27;0.09;0.21;-0.27;0.0358727660622065
2015-09-21;77653.28;73984.83;1.09;-0.22;0.05;0.12;-0.27;0.0495838133303813
2015-10-21;82977.82;75970.59;1.19;-0.17;0.05;0.19;-0.26;0.0922360876755072
2015-11-23;90938.51;77986.09;1.26;-0.01;0.17;0.13;-0.24;0.166086285387561
2015-12-18;82288.55;79983.25;0.9;-0.14;0.13;-0.01;-0.3;0.028822284665852
2016-01-21;80737.02;81984.37;0.99;-0.09;0.01;-0.22;-0.38;-0.0152144853952041
2016-02-22;95906.38;83989.39;1.42;0.12;0.11;-0.11;-0.33;0.141886850231916
2016-03-18;108342.48;85991.59;1.66;0.13;0.34;-0.01;-0.19;0.259919487475461
2016-04-20;115184.42;87995.35;1.85;0.25;0.3;0.02;-0.18;0.308983031489732
2016-05-19;116374.3;89997.35;1.85;0.29;0.38;-0.08;-0.21;0.293085851972308
2016-06-20;124130;91999.55;2.22;0.35;0.38;-0.06;-0.22;0.349245730006288
